SKU Vendido;Produtos;Qtd Vendida;Preco Unitario;Faturamento;Loja;Data da Venda;Codigo Cliente
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;1/21/2020;319
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;1/21/2020;50
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;1/22/2020;552
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;1/22/2020;608
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;1/22/2020;264
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;1/23/2020;560
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;1/23/2020;130
HL1001;Smart TV 50' 4K;5;3700;18500;Guarulhos;1/24/2020;316
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;1/24/2020;586
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;1/24/2020;496
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;1/24/2020;682
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;1/24/2020;748
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;1/24/2020;665
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;1/25/2020;753
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;1/25/2020;514
HL1001;Smart TV 50' 4K;2;3700;7400;Campinas;1/26/2020;248
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;1/26/2020;643
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;1/26/2020;452
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;1/26/2020;544
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;1/27/2020;797
HL1001;Smart TV 50' 4K;1;3700;3700;Niterói;1/27/2020;168
HL1001;Smart TV 50' 4K;2;3700;7400;Campinas;1/27/2020;158
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;1/27/2020;505
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;1/28/2020;696
HL1001;Smart TV 50' 4K;4;3700;14800;Guarulhos;1/28/2020;90
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;1/29/2020;209
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;1/29/2020;735
HL1001;Smart TV 50' 4K;3;3700;11100;Goiânia;1/29/2020;367
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;1/29/2020;148
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;1/29/2020;514
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;1/29/2020;50
HL1001;Smart TV 50' 4K;3;3700;11100;Salvador;1/29/2020;244
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;1/29/2020;239
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;1/29/2020;105
HL1001;Smart TV 50' 4K;2;3700;7400;Rio de Janeiro;1/29/2020;641
HL1001;Smart TV 50' 4K;4;3700;14800;Guarulhos;1/30/2020;580
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;1/30/2020;797
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;1/30/2020;412
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;1/30/2020;47
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;1/30/2020;617
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;1/30/2020;320
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;1/31/2020;175
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;1/31/2020;80
HL1001;Smart TV 50' 4K;1;3700;3700;Salvador;1/31/2020;238
HL1001;Smart TV 50' 4K;1;3700;3700;Guarulhos;02/02/2020;537
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;02/03/2020;125
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;02/03/2020;643
HL1001;Smart TV 50' 4K;3;3700;11100;Curitiba;02/03/2020;119
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;02/03/2020;107
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;02/04/2020;814
HL1001;Smart TV 50' 4K;5;3700;18500;Goiânia;02/04/2020;32
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;02/04/2020;140
HL1001;Smart TV 50' 4K;2;3700;7400;Curitiba;02/04/2020;396
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;02/05/2020;818
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;02/05/2020;445
HL1001;Smart TV 50' 4K;4;3700;14800;Campinas;02/05/2020;53
HL1001;Smart TV 50' 4K;4;3700;14800;Niterói;02/05/2020;407
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;02/05/2020;408
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;02/06/2020;650
HL1001;Smart TV 50' 4K;1;3700;3700;Goiânia;02/07/2020;109
HL1001;Smart TV 50' 4K;3;3700;11100;Porto Alegre;02/07/2020;188
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;02/07/2020;79
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;02/07/2020;598
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;02/08/2020;468
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;02/08/2020;468
HL1001;Smart TV 50' 4K;5;3700;18500;Guarulhos;02/09/2020;249
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;02/09/2020;652
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;02/10/2020;715
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;02/10/2020;171
HL1001;Smart TV 50' 4K;5;3700;18500;Nova Iguaçu;02/11/2020;374
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;02/11/2020;332
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;02/12/2020;597
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;2/13/2020;806
HL1001;Smart TV 50' 4K;3;3700;11100;Curitiba;2/13/2020;215
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;2/14/2020;519
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;2/15/2020;110
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;2/15/2020;541
HL1001;Smart TV 50' 4K;5;3700;18500;Curitiba;2/16/2020;572
HL1001;Smart TV 50' 4K;4;3700;14800;Campinas;2/16/2020;424
HL1001;Smart TV 50' 4K;1;3700;3700;Salvador;2/16/2020;769
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;2/16/2020;330
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;2/16/2020;665
HL1001;Smart TV 50' 4K;4;3700;14800;Guarulhos;2/17/2020;193
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;2/17/2020;57
HL1001;Smart TV 50' 4K;3;3700;11100;Curitiba;2/17/2020;259
HL1001;Smart TV 50' 4K;4;3700;14800;Goiânia;2/18/2020;434
HL1001;Smart TV 50' 4K;5;3700;18500;Guarulhos;2/19/2020;427
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;2/19/2020;168
HL1001;Smart TV 50' 4K;5;3700;18500;Niterói;2/19/2020;371
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;2/19/2020;450
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;2/19/2020;608
HL1001;Smart TV 50' 4K;4;3700;14800;Porto Alegre;2/20/2020;369
HL1001;Smart TV 50' 4K;4;3700;14800;Belo Horizonte;2/21/2020;544
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;2/22/2020;521
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;2/22/2020;550
HL1001;Smart TV 50' 4K;1;3700;3700;Goiânia;2/23/2020;22
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;2/23/2020;226
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;2/24/2020;244
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;2/24/2020;787
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;2/26/2020;133
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;2/26/2020;350
HL1001;Smart TV 50' 4K;3;3700;11100;Guarulhos;2/27/2020;79
HL1001;Smart TV 50' 4K;5;3700;18500;Rio de Janeiro;2/28/2020;792
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;03/01/2020;544
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;03/01/2020;130
HL1001;Smart TV 50' 4K;1;3700;3700;Fortaleza;03/01/2020;705
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;03/01/2020;738
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;03/02/2020;198
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;03/02/2020;250
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;03/02/2020;3
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;03/02/2020;650
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;03/03/2020;109
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;03/03/2020;16
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;03/03/2020;536
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;03/03/2020;236
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;03/04/2020;429
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;03/05/2020;97
HL1001;Smart TV 50' 4K;3;3700;11100;Porto Alegre;03/05/2020;547
HL1001;Smart TV 50' 4K;1;3700;3700;Belo Horizonte;03/06/2020;580
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;03/06/2020;281
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;03/06/2020;799
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;03/07/2020;700
HL1001;Smart TV 50' 4K;2;3700;7400;Belo Horizonte;03/07/2020;114
HL1001;Smart TV 50' 4K;4;3700;14800;Guarulhos;03/08/2020;335
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;03/08/2020;424
HL1001;Smart TV 50' 4K;5;3700;18500;Rio de Janeiro;03/08/2020;297
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;03/08/2020;159
HL1001;Smart TV 50' 4K;1;3700;3700;Salvador;03/08/2020;650
HL1001;Smart TV 50' 4K;2;3700;7400;Guarulhos;03/09/2020;468
HL1001;Smart TV 50' 4K;2;3700;7400;Rio de Janeiro;03/09/2020;282
HL1001;Smart TV 50' 4K;3;3700;11100;Nova Iguaçu;03/10/2020;116
HL1001;Smart TV 50' 4K;1;3700;3700;Belo Horizonte;03/10/2020;659
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;03/11/2020;471
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;03/12/2020;812
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;3/13/2020;53
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;3/14/2020;382
HL1001;Smart TV 50' 4K;5;3700;18500;Recife;3/15/2020;321
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;3/15/2020;55
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;3/16/2020;601
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;3/16/2020;196
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;3/17/2020;215
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;3/18/2020;429
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;3/18/2020;288
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;3/18/2020;372
HL1001;Smart TV 50' 4K;3;3700;11100;Guarulhos;3/19/2020;430
HL1001;Smart TV 50' 4K;4;3700;14800;Niterói;3/19/2020;196
HL1001;Smart TV 50' 4K;3;3700;11100;Guarulhos;3/20/2020;776
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;3/20/2020;391
HL1001;Smart TV 50' 4K;3;3700;11100;Salvador;3/20/2020;777
HL1001;Smart TV 50' 4K;2;3700;7400;Curitiba;3/21/2020;755
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;3/21/2020;49
HL1001;Smart TV 50' 4K;2;3700;7400;Goiânia;3/21/2020;299
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;3/22/2020;4
HL1001;Smart TV 50' 4K;3;3700;11100;Goiânia;3/22/2020;534
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;3/22/2020;219
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;3/22/2020;240
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;3/23/2020;58
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;3/23/2020;28
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;3/24/2020;412
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;3/26/2020;234
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;3/26/2020;382
HL1001;Smart TV 50' 4K;1;3700;3700;Rio de Janeiro;3/27/2020;558
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;3/27/2020;126
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;3/27/2020;665
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;3/28/2020;114
HL1001;Smart TV 50' 4K;2;3700;7400;Curitiba;3/29/2020;450
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;3/29/2020;631
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;3/29/2020;274
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;3/30/2020;3
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;3/30/2020;453
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;3/31/2020;772
HL1001;Smart TV 50' 4K;4;3700;14800;Porto Alegre;3/31/2020;259
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;04/01/2020;196
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;04/01/2020;588
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;04/01/2020;348
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;04/01/2020;282
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;04/01/2020;214
HL1001;Smart TV 50' 4K;4;3700;14800;Curitiba;04/01/2020;310
HL1001;Smart TV 50' 4K;1;3700;3700;Porto Alegre;04/02/2020;753
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;04/02/2020;762
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;04/02/2020;319
HL1001;Smart TV 50' 4K;1;3700;3700;Guarulhos;04/03/2020;76
HL1001;Smart TV 50' 4K;5;3700;18500;Goiânia;04/03/2020;771
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;04/03/2020;446
HL1001;Smart TV 50' 4K;1;3700;3700;Fortaleza;04/03/2020;245
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;04/03/2020;687
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;04/04/2020;449
HL1001;Smart TV 50' 4K;2;3700;7400;Rio de Janeiro;04/04/2020;314
HL1001;Smart TV 50' 4K;2;3700;7400;Guarulhos;04/04/2020;520
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;04/05/2020;775
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;04/05/2020;675
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;04/05/2020;641
HL1001;Smart TV 50' 4K;2;3700;7400;Nova Iguaçu;04/05/2020;570
HL1001;Smart TV 50' 4K;2;3700;7400;Guarulhos;04/06/2020;592
HL1001;Smart TV 50' 4K;4;3700;14800;Campinas;04/06/2020;562
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;04/07/2020;397
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;04/07/2020;5
HL1001;Smart TV 50' 4K;1;3700;3700;Belo Horizonte;04/07/2020;640
HL1001;Smart TV 50' 4K;2;3700;7400;Rio de Janeiro;04/07/2020;238
HL1001;Smart TV 50' 4K;1;3700;3700;Rio de Janeiro;04/08/2020;85
HL1001;Smart TV 50' 4K;1;3700;3700;Belo Horizonte;04/08/2020;110
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;04/08/2020;320
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;04/08/2020;354
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;04/10/2020;23
HL1001;Smart TV 50' 4K;1;3700;3700;Porto Alegre;04/10/2020;198
HL1001;Smart TV 50' 4K;1;3700;3700;Fortaleza;04/10/2020;571
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;04/10/2020;156
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;04/10/2020;541
HL1001;Smart TV 50' 4K;3;3700;11100;Salvador;04/11/2020;717
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;04/11/2020;69
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;04/11/2020;165
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;04/11/2020;572
HL1001;Smart TV 50' 4K;2;3700;7400;Rio de Janeiro;04/11/2020;156
HL1001;Smart TV 50' 4K;2;3700;7400;Curitiba;04/12/2020;442
HL1001;Smart TV 50' 4K;5;3700;18500;Porto Alegre;04/12/2020;442
HL1001;Smart TV 50' 4K;4;3700;14800;Belo Horizonte;04/12/2020;712
HL1001;Smart TV 50' 4K;4;3700;14800;Goiânia;04/12/2020;484
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;04/12/2020;462
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;4/13/2020;46
HL1001;Smart TV 50' 4K;2;3700;7400;Nova Iguaçu;4/13/2020;107
HL1001;Smart TV 50' 4K;2;3700;7400;Fortaleza;4/13/2020;599
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;4/14/2020;314
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;4/14/2020;805
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;4/14/2020;70
HL1001;Smart TV 50' 4K;1;3700;3700;Rio de Janeiro;4/15/2020;202
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;4/15/2020;615
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;4/15/2020;352
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;4/15/2020;482
HL1001;Smart TV 50' 4K;1;3700;3700;Rio de Janeiro;4/16/2020;772
HL1001;Smart TV 50' 4K;2;3700;7400;Salvador;4/17/2020;651
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;4/17/2020;254
HL1001;Smart TV 50' 4K;2;3700;7400;Guarulhos;4/17/2020;426
HL1001;Smart TV 50' 4K;3;3700;11100;Goiânia;4/17/2020;492
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;4/18/2020;694
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;4/19/2020;44
HL1001;Smart TV 50' 4K;5;3700;18500;Fortaleza;4/19/2020;618
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;4/20/2020;748
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;4/20/2020;560
HL1001;Smart TV 50' 4K;4;3700;14800;Fortaleza;4/20/2020;31
HL1001;Smart TV 50' 4K;1;3700;3700;Curitiba;4/21/2020;795
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;4/22/2020;492
HL1001;Smart TV 50' 4K;3;3700;11100;Goiânia;4/22/2020;424
HL1001;Smart TV 50' 4K;2;3700;7400;Goiânia;4/22/2020;104
HL1001;Smart TV 50' 4K;3;3700;11100;Niterói;4/22/2020;613
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;4/23/2020;765
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;4/23/2020;567
HL1001;Smart TV 50' 4K;2;3700;7400;São Paulo;4/23/2020;775
HL1001;Smart TV 50' 4K;4;3700;14800;Rio de Janeiro;4/24/2020;301
HL1001;Smart TV 50' 4K;5;3700;18500;Curitiba;4/24/2020;213
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;4/25/2020;269
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;4/25/2020;16
HL1001;Smart TV 50' 4K;1;3700;3700;Guarulhos;4/25/2020;312
HL1001;Smart TV 50' 4K;5;3700;18500;Rio de Janeiro;4/25/2020;550
HL1001;Smart TV 50' 4K;3;3700;11100;Recife;4/26/2020;331
HL1001;Smart TV 50' 4K;3;3700;11100;Goiânia;4/26/2020;79
HL1001;Smart TV 50' 4K;4;3700;14800;Campinas;4/26/2020;331
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;4/26/2020;609
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;4/27/2020;415
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;4/27/2020;111
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;4/27/2020;594
HL1001;Smart TV 50' 4K;4;3700;14800;Recife;4/28/2020;316
HL1001;Smart TV 50' 4K;1;3700;3700;São Paulo;4/28/2020;650
HL1001;Smart TV 50' 4K;1;3700;3700;Fortaleza;4/28/2020;641
HL1001;Smart TV 50' 4K;2;3700;7400;Goiânia;4/29/2020;499
HL1001;Smart TV 50' 4K;3;3700;11100;Fortaleza;4/29/2020;441
HL1001;Smart TV 50' 4K;4;3700;14800;Salvador;4/29/2020;460
HL1001;Smart TV 50' 4K;5;3700;18500;Salvador;4/29/2020;325
HL1001;Smart TV 50' 4K;4;3700;14800;São Paulo;4/30/2020;621
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;05/01/2020;60
HL1001;Smart TV 50' 4K;1;3700;3700;Recife;05/02/2020;589
HL1001;Smart TV 50' 4K;3;3700;11100;Rio de Janeiro;05/03/2020;232
HL1001;Smart TV 50' 4K;3;3700;11100;Porto Alegre;05/04/2020;29
HL1001;Smart TV 50' 4K;3;3700;11100;Porto Alegre;05/04/2020;319
HL1001;Smart TV 50' 4K;5;3700;18500;São Paulo;05/05/2020;389
HL1001;Smart TV 50' 4K;1;3700;3700;Salvador;05/06/2020;569
HL1001;Smart TV 50' 4K;3;3700;11100;Salvador;05/06/2020;319
HL1001;Smart TV 50' 4K;2;3700;7400;Recife;05/07/2020;808
HL1001;Smart TV 50' 4K;5;3700;18500;Campinas;05/07/2020;441
HL1001;Smart TV 50' 4K;3;3700;11100;São Paulo;05/08/2020;307
HL1001;Smart TV 50' 4K;2;3700;7400;Nova Iguaçu;05/08/2020;588
HL1001;Smart TV 50' 4K;1;3700;3700;Campinas;05/08/2020;48
